ImageId,Label
0,6
1,9
2,3
3,1
4,9
5,9
6,1
7,0
8,2
9,1
10,9
11,5
12,2
13,9
14,9
15,6
16,6
17,1
18,9
19,4
20,6
21,6
22,3
23,1
24,9
25,1
26,6
27,2
28,2
29,7
30,5
31,1
32,4
33,9
34,6
35,2
36,4
37,6
38,6
39,8
40,9
41,9
42,6
43,8
44,4
45,1
46,9
47,9
48,9
49,7
50,1
51,9
52,5
53,9
54,9
55,7
56,4
57,8
58,9
59,6
60,6
61,7
62,0
63,3
64,4
65,5
66,3
67,1
68,4
69,4
70,6
71,2
72,1
73,1
74,3
75,5
76,0
77,9
78,4
79,9
80,8
81,2
82,8
83,8
84,5
85,6
86,3
87,6
88,7
89,7
90,4
91,5
92,0
93,7
94,6
95,9
96,0
97,4
98,2
99,1
100,9
101,3
102,6
103,8
104,2
105,1
106,8
107,6
108,3
109,2
110,5
111,5
112,3
113,9
114,7
115,3
116,6
117,3
118,3
119,9
120,0
121,6
122,2
123,8
124,1
125,7
126,9
127,7
128,0
129,4
130,9
131,5
132,6
133,2
134,9
135,1
136,2
137,3
138,2
139,6
140,1
141,1
142,7
143,1
144,1
145,6
146,4
147,8
148,0
149,9
150,6
151,2
152,0
153,0
154,7
155,4
156,6
157,2
158,7
159,4
160,7
161,6
162,0
163,2
164,7
165,2
166,0
167,0
168,3
169,8
170,3
171,6
172,7
173,9
174,1
175,7
176,1
177,1
178,6
179,2
180,0
181,5
182,4
183,7
184,2
185,2
186,7
187,8
188,6
189,0
190,1
191,1
192,9
193,1
194,6
195,6
196,3
197,7
198,4
199,8
200,2
201,2
202,6
203,7
204,9
205,6
206,8
207,7
208,8
209,0
210,7
211,1
212,0
213,6
214,6
215,6
216,2
217,8
218,1
219,1
220,6
221,1
222,2
223,8
224,5
225,6
226,9
227,6
228,0
229,7
230,4
231,5
232,5
233,3
234,7
235,1
236,0
237,5
238,1
239,6
240,7
241,8
242,3
243,9
244,8
245,9
246,6
247,0
248,6
249,0
250,7
251,7
252,6
253,8
254,6
255,0
256,7
257,4
258,1
259,2
260,6
261,5
262,3
