strain,sex,id,bw,center_time,center_dist,periphery_time,periphery_dist,periphery_dist_pct,activity,lean,rear,jump,defec,groom_freq,groom_dur,groom_bout,task_time_d1,task_time_d2,task_time_d3,task_time_d4,task_time_d5,num_arms_d1,num_arms_d2,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_adj_d3,num_arms_adj_d4,num_arms_adj_d5,num_arms_adj_d3_d5,errors_d1,errors_d2,errors_d3,errors_d4,errors_d5,errors_d3_d5,visit_time_d3,visit_time_d4,visit_time_d5,visit_time_d3_d5,latency_d1,latency_d2,attack_d1,attack_d2,attack_combine,brain_wt,brain_wt_pct,hippocampus_L,hippocampus_R,iipmf_L,iipmf_R,iipmf_pct_L,iipmf_pct_R,iipmf_pct_mean,hilus_L,hilus_R,hilus_pct_L,hilus_pct_R,hilus_pct_mean,supra_L,supra_R,supra_pct_L,supra_pct_R,supra_pct_mean,pyr_L,pyr_R,pyr_pct_L,pyr_pct_R,pyr_pct_mean,oriens_L,oriens_R,oriens_pct_L,oriens_pct_R,oriens_pct_mean,rad_L,rad_R,rad_pct_L,rad_pct_R,rad_pct_mean,lacun_L,lacun_R,lacun_pct_L,lacun_pct_R,lacun_pct_mean
BXD1,f,138,22.70,34,4084,66,6989,63.12,11073,56,13,0,0,11,28,2.545,791,625,363,222,162,5,6,5,7,7,-0.3000,1.700,1.700,1.033,7,15,6,5,3,14,25.93,17.08,14.73,19.24,,,,,,0.4600,2.026,1677740.8,1625290.6,34125,32936.8,2.034,2.027,2.030,184197.2,156521.8,10.98,9.630,10.30,195271.2,182789.8,11.64,11.25,11.44,189534,221690.8,11.30,13.64,12.47,550027.2,515438.6,32.78,31.71,32.25,439035.6,441760.8,26.17,27.18,26.67,119675.6,107088.8,7.133,6.589,6.861
BXD1,f,139,21.10,44,6172,56,6581,51.60,12753,50,74,0,3,12,78,6.500,389,117,363,414,363,7,7,5,6,6,-0.3000,0.7000,0.7000,0.3667,11,2,8,16,9,33,22.69,17.25,21.35,20.43,,,,,,0.4500,2.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD1,m,241,23.70,34,2666,66,4329,61.89,6995,8,10,0,8,3,22,7.333,856,556,223,125,190,4,5,7,6,5,1.700,0.7000,-0.3000,0.7000,17,18,5,7,10,22,17.15,8.333,10.56,12.01,600,,0,,,0.4200,1.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD1,m,242,24.80,30,5050,70,8040,61.42,13090,4,90,0,6,7,31,4.429,1056,300,206,141,171,5,6,4,5,6,-1.300,-0.3000,0.7000,-0.3000,19,11,17,5,8,30,8.240,10.85,10.69,9.925,600,,0,,,0.3900,1.573,1811171.2,1328145.8,29129.8,26854.2,1.608,2.022,1.815,168992.6,140136.8,9.331,10.55,9.941,193557.4,154148.8,10.69,11.61,11.15,268869.2,166496.8,14.85,12.54,13.69,552636.4,375790.2,30.51,28.29,29.40,505736,376345.6,27.92,28.34,28.13,121379.6,115227.6,6.702,8.676,7.689
BXD100,f,1602,24.10,27,2341,73,3299,58.49,5640,28,17,0,8,19,151.4,7.966,620,620,485,375,887,6,4,6,5,4,0.7000,-0.3000,-1.300,-0.3000,6,14,7,7,7,21,32.33,25,59.13,38.82,,,,,,0.4400,1.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,f,1603,22.40,19,1521,81,3839,71.62,5360,61,31,0,13,12,102.7,8.560,673,316,334,365,196,5,6,6,6,6,0.7000,0.7000,0.7000,0.7000,12,3,9,11,3,23,19.65,19.21,17.82,18.89,,,,,,0.4100,1.830,1373309,1515028.8,16794.2,28613.8,1.223,1.889,1.556,86149.6,107296,6.273,7.082,6.678,117051.4,144061.8,8.523,9.509,9.016,244054,244510.8,17.77,16.14,16.96,460611.4,499582.4,33.54,32.98,33.26,386880.2,424987.2,28.17,28.05,28.11,78562.4,94590.6,5.721,6.243,5.982
BXD100,f,2115,23.20,13,1642,87,7469,81.98,9111,94,61,0,2,6,29.04,4.840,898,527,277,182,265,4,5,7,6,6,1.700,0.7000,0.7000,1.033,21,12,4,4,9,17,23.08,15.17,15.59,17.95,,,,,,0.4100,1.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,f,2116,25,17,1715,83,3699,68.32,5414,42,34,0,6,13,136.3,10.49,1211,307,454,263,141,5,6,4,5,7,-1.300,-0.3000,1.700,0.03333,30,3,8,6,1,15,28.38,18.79,15.67,20.94,,,,,,0.4500,1.800,1795644,1608368,29970,42677,1.669,2.653,2.161,138301.6,106120.6,7.702,6.598,7.150,158641.6,160599.8,8.835,9.985,9.410,273505,228972,15.23,14.24,14.73,631311.2,610758.2,35.16,37.97,36.57,474278,421802.2,26.41,26.23,26.32,119606.6,80115.2,6.661,4.981,5.821
BXD100,f,3505,21.40,23,2719,77,4145,60.39,6864,78,57,0,12,8,88.80,11.10,1280,293,371,362,401,5,6,7,6,7,1.700,0.7000,1.700,1.367,9,6,8,5,8,21,23.19,27.85,25.06,25.37,,,,,,0.3900,1.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,f,3506,21.30,33,3441,67,4502,56.68,7943,74,54,1,7,6,45.52,7.587,652,492,315,277,224,6,6,6,6,7,0.7000,0.7000,1.700,1.033,15,6,10,13,2,25,17.50,13.19,22.40,17.70,,,,,,0.3900,1.831,1235023,1352849.8,31407.2,30907.2,2.543,2.285,2.414,102992.2,102526.2,8.339,7.579,7.959,130883,135712,10.60,10.03,10.31,191707.8,191312.8,15.52,14.14,14.83,398423.4,431376.6,32.26,31.89,32.07,306437.6,381684.6,24.81,28.21,26.51,104579,110237.6,8.468,8.149,8.308
BXD100,f,4082,23.80,30,3403,70,3236,48.74,6639,39,44,0,13,12,98.32,8.193,604,717,691,904,354,5,6,7,5,6,1.700,-0.3000,0.7000,0.7000,8,2,2,2,3,7,69.10,90.40,32.18,63.89,,,,,,0.4700,1.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,f,4083,23.20,31,2026,69,3154,60.89,5180,35,24,0,10,8,192,24,652,1010,451,357,134,4,6,7,6,6,1.700,0.7000,0.7000,1.033,5,8,6,4,3,13,32.21,29.75,12.18,24.72,,,,,,0.4400,1.897,1785271.6,1409571.4,48836,33608,2.735,2.384,2.560,129314,115688.6,7.243,8.207,7.725,176836.2,131474.8,9.905,9.327,9.616,296377.6,192959.4,16.60,13.69,15.15,639974.6,517630.6,35.85,36.72,36.29,443027,376121.8,24.82,26.68,25.75,99742.2,75696.2,5.587,5.370,5.479
BXD100,f,4293,21.40,17,2008,83,4591,69.57,6599,71,60,0,5,5,77.52,15.50,535,395,295,89,272,6,6,5,6,6,-0.3000,0.7000,0.7000,0.3667,8,14,9,2,15,26,17.35,8.900,11.83,12.69,,,,,,0.4100,1.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,f,4294,22.70,21,2493,79,3985,61.52,6478,81,67,10,5,7,115.1,16.45,662,266,173,142,153,5,5,7,5,7,1.700,-0.3000,1.700,1.033,12,7,1,5,8,14,19.22,10.92,9.562,13.24,,,,,,0.4000,1.762,1415724.6,1359930.2,35070.4,35631.2,2.477,2.620,2.549,96031.2,101160.8,6.783,7.439,7.111,147876.2,144426.4,10.45,10.62,10.53,237436,206986.6,16.77,15.22,16.00,456718.4,445306,32.26,32.74,32.50,385224,383529.4,27.21,28.20,27.71,92438.8,78521,6.529,5.774,6.152
BXD100,m,1604,27.50,33,2439,67,3683,60.16,6122,67,49,0,10,8,93.04,11.63,921,700,248,261,104,4,5,8,6,6,2.700,0.7000,0.7000,1.367,16,9,0,4,2,6,31,21.75,10.40,21.05,600,600,0,0,0,0.4100,1.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,m,1605,28.50,35,3689,65,3486,48.59,7175,78,111,1,6,16,76.72,4.795,216,217,141,169,109,4,7,6,6,6,0.7000,0.7000,0.7000,0.7000,5,6,10,5,5,20,7.833,13,8.385,9.739,259,246,1,1,1,0.4300,1.509,1405810.8,1452144.2,35466.4,35516.4,2.523,2.446,2.484,122272.4,118742.2,8.698,8.177,8.437,142708.8,151591.2,10.15,10.44,10.30,208541,203783.8,14.83,14.03,14.43,446294.8,471604.2,31.75,32.48,32.11,395517,414356.4,28.13,28.53,28.33,90476.8,92066.4,6.436,6.340,6.388
BXD100,m,2118,31.10,49,5673,51,3959,41.10,9632,78,114,0,4,10,48.64,4.864,603,304,325,206,269,5,5,6,7,6,0.7000,1.700,0.7000,1.033,14,7,7,7,6,20,21.67,13.73,19.21,18.20,443,481,1,1,1,0.4300,1.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
